Samples,Profile,Latitude,Longitude,Upper_depth_cm,Lower_depth_cm,SOC_g_kg,pH,CLCD,Time,log_SOC,is_surface,grid_lat,grid_lon,grid_id,depth_bin
183,40,22.21425,110.0000833,26,40,4.9,8.0,Cropland,2014,1.7749523509116738,0,4,22,4022,20-50cm
184,40,22.21425,110.0000833,40,52,4.1,7.7,Cropland,2014,1.62924053973028,0,4,22,4022,20-50cm
185,40,22.21425,110.0000833,52,80,1.6,7.6,Cropland,2014,0.9555114450274363,0,4,22,4022,50-100cm
186,40,22.21425,110.0000833,80,110,0.7,7.7,Cropland,2014,0.5306282510621704,0,4,22,4022,50-100cm
187,41,22.20133333,108.4800556,0,14,14.0,4.7,Cropland,2014,2.70805020110221,1,4,21,4021,0-20cm
188,41,22.20133333,108.4800556,14,24,13.5,4.3,Cropland,2014,2.6741486494265287,0,4,21,4021,0-20cm
189,41,22.20133333,108.4800556,24,38,7.1,4.6,Cropland,2014,2.0918640616783932,0,4,21,4021,20-50cm
190,41,22.20133333,108.4800556,38,79,5.4,4.8,Cropland,2014,1.8562979903656263,0,4,21,4021,20-50cm
191,41,22.20133333,108.4800556,79,105,3.2,5.0,Cropland,2014,1.4350845252893227,0,4,21,4021,50-100cm
192,42,21.6095,109.4242222,0,20,8.6,4.6,Cropland,2014,2.2617630984737906,1,4,21,4021,0-20cm
193,42,21.6095,109.4242222,20,40,5.8,4.4,Cropland,2014,1.916922612182061,0,4,21,4021,20-50cm
194,42,21.6095,109.4242222,40,65,4.1,4.3,Cropland,2014,1.62924053973028,0,4,21,4021,20-50cm
195,42,21.6095,109.4242222,65,110,3.7,4.3,Cropland,2014,1.547562508716013,0,4,21,4021,50-100cm
196,43,21.52377778,109.7326389,0,17,13.5,4.7,Forest,2014,2.6741486494265287,1,4,21,4021,0-20cm
197,43,21.52377778,109.7326389,17,40,6.6,4.4,Forest,2014,2.028148247292285,0,4,21,4021,0-20cm
198,43,21.52377778,109.7326389,40,85,7.2,4.2,Forest,2014,2.1041341542702074,0,4,21,4021,20-50cm
199,43,21.52377778,109.7326389,85,110,5.0,4.3,Forest,2014,1.791759469228055,0,4,21,4021,50-100cm
200,44,21.63986111,108.7669167,0,15,16.7,5.3,Cropland,2014,2.8735646395797834,1,4,21,4021,0-20cm
201,44,21.63986111,108.7669167,15,55,1.8,4.9,Cropland,2014,1.0296194171811583,0,4,21,4021,0-20cm
202,44,21.63986111,108.7669167,55,121,1.5,4.9,Cropland,2014,0.9162907318741551,0,4,21,4021,50-100cm
203,44,21.63986111,108.7669167,121,175,1.3,5.0,Cropland,2014,0.832909122935104,0,4,21,4021,>100cm
204,45,21.88477778,108.5107778,0,7,7.6,4.3,Grassland,2014,2.151762203259462,1,4,21,4021,0-20cm
205,45,21.88477778,108.5107778,7,20,18.0,2.8,Grassland,2014,2.9444389791664403,0,4,21,4021,0-20cm
206,45,21.88477778,108.5107778,20,38,13.6,2.8,Grassland,2014,2.681021528714291,0,4,21,4021,20-50cm
207,45,21.88477778,108.5107778,38,90,9.4,2.8,Grassland,2014,2.341805806147327,0,4,21,4021,20-50cm
208,46,21.68486111,109.4205,0,27,5.5,5.2,Cropland,2014,1.8718021769015913,1,4,21,4021,0-20cm
209,46,21.68486111,109.4205,27,47,2.8,5.1,Cropland,2014,1.33500106673234,0,4,21,4021,20-50cm
210,46,21.68486111,109.4205,47,84,2.2,5.2,Cropland,2014,1.1631508098056809,0,4,21,4021,20-50cm
